"filename", "language", "C", "C++", "Markdown", "YAML", "CSS", "HTML", "Makefile", "comment", "blank", "total"
"/Users/vijaysatheesh/Advanced C Programming/.github/README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/vijaysatheesh/Advanced C Programming/.github/workflows/static.yml", "YAML", 0, 0, 0, 30, 0, 0, 0, 8, 6, 44
"/Users/vijaysatheesh/Advanced C Programming/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/vijaysatheesh/Advanced C Programming/Notes.html", "HTML", 0, 0, 0, 0, 0, 2913, 0, 0, 236, 3149
"/Users/vijaysatheesh/Advanced C Programming/Notes.md", "Markdown", 0, 0, 2466, 0, 0, 0, 0, 0, 493, 2959
"/Users/vijaysatheesh/Advanced C Programming/Section 10/fflush.c", "C", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/vijaysatheesh/Advanced C Programming/Section 10/fgetcc.c", "C", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/vijaysatheesh/Advanced C Programming/Section 10/fgets.c", "C", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/vijaysatheesh/Advanced C Programming/Section 10/fputcc.c", "C", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/vijaysatheesh/Advanced C Programming/Section 10/getcc.c", "C", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/vijaysatheesh/Advanced C Programming/Section 10/getline.c", "C", 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/vijaysatheesh/Advanced C Programming/Section 10/numberclassifier.c", "C", 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"/Users/vijaysatheesh/Advanced C Programming/Section 10/putcc.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/vijaysatheesh/Advanced C Programming/Section 10/puts.c", "C", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/vijaysatheesh/Advanced C Programming/Section 10/sprintfc.c", "C", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/vijaysatheesh/Advanced C Programming/Section 10/stringclng.c", "C", 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/Users/vijaysatheesh/Advanced C Programming/Section 10/ungetc.c", "C", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/vijaysatheesh/Advanced C Programming/Section 10/uppertolower.c", "C", 51, 0, 0, 0, 0, 0, 0, 0, 10, 61
"/Users/vijaysatheesh/Advanced C Programming/Section 10/wordcounter.c", "C", 52, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/vijaysatheesh/Advanced C Programming/Section 11/inline.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/vijaysatheesh/Advanced C Programming/Section 11/noreturnfns.c", "C", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/vijaysatheesh/Advanced C Programming/Section 11/recclng.c", "C", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/vijaysatheesh/Advanced C Programming/Section 11/recclng2.c", "C", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/vijaysatheesh/Advanced C Programming/Section 11/recclng3.c", "C", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/vijaysatheesh/Advanced C Programming/Section 11/recursion.c", "C", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/vijaysatheesh/Advanced C Programming/Section 11/sefcs.c", "C", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/vijaysatheesh/Advanced C Programming/Section 11/variadicfunctions.c", "C", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/vijaysatheesh/Advanced C Programming/Section 12/unionaccess.c", "C", 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/vijaysatheesh/Advanced C Programming/Section 12/unionclng.c", "C", 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/vijaysatheesh/Advanced C Programming/Section 12/unions.c", "C", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/vijaysatheesh/Advanced C Programming/Section 13/conditcompile.c", "C", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/vijaysatheesh/Advanced C Programming/Section 13/pragma.c", "C", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/vijaysatheesh/Advanced C Programming/Section 14/macroclng1.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/vijaysatheesh/Advanced C Programming/Section 14/macroclng2.c", "C", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/vijaysatheesh/Advanced C Programming/Section 14/macroclng3.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/vijaysatheesh/Advanced C Programming/Section 14/macroclng4.c", "C", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
